Gene	Exonic	Mature	Premature
SPAC4G9.20c	3412	208	35
SPAC4H3.02c	1809	88	2
SPAC4H3.13	1578	268	46
SPAC4H3.14c	3666	173	33
SPAC513.03	68	33	0
SPAC56E4.04c	24155	91	2
SPAC56E4.05	4096	421	6
SPAC56F8.04c	2342	0	139
SPAC56F8.06c	916	26	9
SPAC56F8.08	6806	503	11
SPAC57A10.04	418	11	22
SPAC57A10.06	112	5	10
SPAC57A10.10c	22369	1809	12
SPAC57A10.11c	5739	445	6
SPAC57A7.06	12236	189	4
SPAC57A7.12	27334	653	6
SPAC57A7.15c	605	124	13
SPAC589.03c	1644	126	128
SPAC589.04	2050	216	18
SPAC589.06c	24836	2752	51
SPAC589.11	216	21	13
SPAC589.12	7132	70	24
SPAC5D6.01	30988	3782	2048
SPAC5D6.06c	1786	147	6
SPAC5D6.08c	1116	46	0
SPAC607.03c	31186	13944	60
SPAC607.05	10859	559	54
SPAC631.02	6018	114	22
SPAC644.04	8055	175	5
SPAC644.08	3085	301	52
SPAC644.10	2301	0	273
SPAC644.15	29089	9013	94
SPAC644.16	5926	372	16
SPAC652.01	4718	212	44
SPAC664.03	7459	157	27
SPAC664.04c	54563	6976	45
SPAC664.06	17619	1125	36
SPAC664.10	2829	60	4
SPAC664.12c	2642	171	20
SPAC688.03c	657	46	16
SPAC688.06c	1333	22	36
SPAC688.09	2910	166	12
SPAC688.16	1845	525	6
SPAC694.03	1147	93	55
SPAC694.04c	364	0	21
SPAC6B12.08	3678	22	63
SPAC6B12.10c	2320	106	19
SPAC6B12.13	4404	183	225
SPAC6B12.16	167	1	17
SPAC6C3.03c	390	9	0
SPAC6C3.04	17328	1	8
SPAC6C3.08	1537	164	8
SPAC6F12.09	3409	30	26
SPAC6F12.11c	2414	92	9
SPAC6F12.16c	10438	7	1
SPAC6F12.17	6472	202	10
SPAC6F6.03c	16498	580	44
SPAC6F6.05	9180	1132	27
SPAC6F6.09	1700	158	18
SPAC6F6.10c	7063	537	22
SPAC6F6.19	821	117	80
SPAC6G10.07	7167	152	2
SPAC6G10.09	10878	284	14
SPAC6G9.05	1647	86	6
SPAC6G9.11	15390	1555	19
SPAC6G9.13c	474	3	101
SPAC6G9.14	6223	131	4
SPAC750.06c	27	0	0
SPAC767.01c	7831	220	13
SPAC7D4.09c	2175	10	14
SPAC7D4.13c	2065	173	20
SPAC806.02c	5844	90	1
SPAC806.05	5679	25	3
SPAC806.08c	1466	28	11
SPAC823.02	29	0	0
SPAC823.03	3395	86	4
SPAC823.05c	3313	196	14
SPAC823.10c	1595	115	5
SPAC823.15	3522	125	75
SPAC823.17	3992	3	0
SPAC824.07	5542	252	167
SPAC890.04c	11027	417	29
SPAC890.08	93043	32462	113
SPAC8C9.03	186	4	1
SPAC8C9.08	96506	18568	298
SPAC8E11.02c	38901	3717	47
SPAC8E11.03c	1039	1	77
SPAC8F11.03	3544	43	25
SPAC8F11.05c	580	24	119
SPAC8F11.09c	3748	268	65
SPAC8F11.10c	9734	362	5
SPAC9.02c	6367	747	31
SPAC9.11	665	39	6
SPAC9.12c	281	0	0
SPAC922.03	2821	11	152
SPAC926.02	3012	37	2
SPAC926.05c	1652	222	38
SPAC959.05c	1067	24	8
SPAC977.06	2	0	0
SPAC977.09c	0	0	0
SPAC977.10	5204	257	29
SPAC977.16c	2016	0	37
SPAC9E9.01	106	0	0
SPAC9E9.04	4461	308	19
SPAC9E9.06c	7890	242	23
SPAC9E9.13	50287	3415	77
SPAC9G1.03c	81198	16865	149
SPAC9G1.06c	8692	1323	4
SPAC9G1.09	765	30	11
SPAC9G1.10c	0	0	0
SPAC9G1.11c	4628	0	3
SPACUNK4.06c	5185	461	23
SPACUNK4.11c	1769	110	24
SPACUNK4.15	1480	95	5
SPAP14E8.02	10822	289	56
SPAP27G11.03	2228	170	15
SPAP27G11.04c	3021	135	14
SPAP27G11.07c	1994	121	33
SPAP27G11.08c	287	3	43
SPAP27G11.10c	5351	26	0
SPAP27G11.11c	5	0	5
SPAP27G11.13c	6602	3682	27
SPAP27G11.15	62	0	0
SPAP32A8.03c	4819	162	37
SPAP4C9.02	2445	276	23
SPAP7G5.03	18198	17	2
SPAP8A3.07c	42904	1503	117
SPAP8A3.10	3109	455	39
SPAP8A3.11c	1915	67	6
SPAPB17E12.05	49175	7181	65
SPAPB17E12.07c	2125	227	27
SPAPB17E12.09	622	2	108
SPAPB17E12.13	56313	231	44
SPAPB18E9.02c	4037	65	4
SPAPB1A10.03	589	401	4
SPAPB1A10.04c	3298	199	241
SPAPB1A10.06c	3724	47	2
SPAPB1A10.07c	1855	69	4
SPAPB1A10.08	1694	32	25
SPAPB1A10.09	2667	39	4
SPAPB1A10.12c	3830	108	64
SPAPB1A10.16	3023	395	7
SPAPB1A11.02	22	1	1
SPAPB1E7.03	5332	188	49
SPAPB1E7.11c	6170	61	3
SPAPB21F2.03	2737	156	90
SPAPB24D3.05c	414	0	113
SPAPB2B4.02	6622	479	50
SPAPB8E5.02c	3358	1	0
SPAPB8E5.09	11172	556	8
SPAPJ760.02c	2835	93	4
SPATRNALYS.04	3	0	1
SPATRNASER.03	0	0	1
SPBC106.04	4351	78	14
SPBC106.18	41267	9250	89
SPBC1105.08	3034	58	22
SPBC1105.10	2981	15	5
SPBC1105.14	1457	3	11
SPBC1105.15c	1589	4	23
SPBC115.01c	3301	217	46
SPBC115.03	3054	27	7
SPBC119.10	51099	492	5
SPBC119.17	7451	137	2
SPBC119.18	3264	544	248
SPBC1198.07c	1374	32	1
SPBC1198.08	21531	982	24
SPBC1198.09	4945	221	49
SPBC1198.12	737	1	77
SPBC11B10.06	1637	69	105
SPBC11C11.07	97803	3155	91
SPBC11C11.10	7185	274	92
SPBC11G11.01	4651	241	110
SPBC11G11.03	18281	1419	27
SPBC11G11.07	4085	57	1
SPBC1215.01	6785	1306	5
SPBC1271.02	13109	316	16
SPBC1271.03c	1847	125	62
SPBC1271.09	751	0	48
SPBC1271.13	4195	316	32
SPBC1289.04c	4788	95	9
SPBC1289.06c	6901	264	16
SPBC1289.12	3156	194	4
SPBC12C2.08	3165	32	1
SPBC12C2.10c	3425	15	0
SPBC12D12.05c	5239	192	7
SPBC12D12.07c	5006	543	7
SPBC1347.03	1068	10	77
SPBC1347.08c	5020	646	8
SPBC1348.01	3	0	0
SPBC1348.07	4	1	0
SPBC1348.10c	1	0	0
SPBC13E7.01	4692	0	163
SPBC13E7.05	1877	73	16
SPBC13E7.08c	14888	300	24
SPBC13G1.01c	4232	273	6
SPBC13G1.03c	2559	148	17
SPBC13G1.04c	3518	202	26
SPBC13G1.06c	5114	621	19
SPBC13G1.09	7651	315	14
SPBC13G1.11	4848	616	9
SPBC13G1.13	3898	174	3
SPBC146.05c	3611	131	9
SPBC146.08c	4150	292	6
SPBC146.13c	13746	117	3
SPBC14C8.06	14443	970	16
SPBC14C8.09c	0	0	0
SPBC14C8.10	8245	1274	0
SPBC14C8.14c	7410	158	8
SPBC14C8.17c	2950	83	29
SPBC14F5.06	17947	543	16
SPBC14F5.08	20691	152	11
SPBC14F5.11c	3109	100	9
SPBC14F5.13c	4950	113	24
SPBC1539.04	6096	498	16
SPBC1539.06	14746	4863	83
SPBC1539.10	6231	711	23
SPBC15C4.03	3670	201	12
SPBC15D4.06	1313	139	70
SPBC15D4.10c	4080	179	88
SPBC15D4.12c	453	21	72
SPBC15D4.14	3832	124	13
SPBC1604.07	13396	1067	5
SPBC1604.09c	2963	198	23
SPBC1604.11	8313	2078	15
SPBC1604.25	2264	351	42
SPBC1677.02	4404	1180	42
SPBC1683.02	1275	15	38
SPBC1685.02c	55977	8870	53
SPBC1685.06	507	1	13
SPBC1685.15c	2928	67	8
SPBC16A3.15c	19629	897	5
SPBC16C6.01c	2231	35	336
SPBC16C6.05	4957	673	24
SPBC16C6.06	3646	22	1
SPBC16C6.10	1649	91	60
SPBC16C6.13c	12165	182	2
SPBC16D10.03	5754	294	22
SPBC16D10.05	2853	8	7
SPBC16D10.09	12827	1076	12
SPBC16D10.11c	37731	7929	13
SPBC16E9.11c	3623	68	26
SPBC16E9.17c	49	2	7
SPBC16G5.01	9617	649	18
SPBC16G5.04	3859	494	15
SPBC16G5.10	8704	430	9
SPBC16G5.14c	83828	13385	70
SPBC16G5.15c	2579	71	4
SPBC16H5.07c	24317	360	20
SPBC16H5.08c	28118	1141	6
SPBC1703.01c	3876	306	17
SPBC1703.02	4134	85	5
SPBC1703.03c	7143	255	2
SPBC1703.05	6453	467	15
SPBC1703.06	4688	122	9
SPBC1703.09	1366	97	18
SPBC1709.01	1653	19	3
SPBC1709.10c	3106	378	166
SPBC1709.15c	3832	86	5
SPBC1711.08	10616	634	48
SPBC1711.09c	2875	156	23
SPBC1711.14	0	0	0
SPBC1711.15c	275	291	53
SPBC1718.04	4841	97	22
SPBC1734.05c	2430	173	21
SPBC1734.07c	5548	8	304
SPBC1734.10c	4459	220	67
SPBC1734.13	13584	890	11
SPBC1734.16c	5446	122	3
SPBC1773.16c	1499	16	44
SPBC1778.03c	3125	97	19
SPBC1778.05c	4540	145	14
SPBC1778.07	4293	249	19
SPBC17A3.07	16507	871	16
SPBC17A3.10	2171	115	6
SPBC17D11.02c	3264	47	1
SPBC17D11.05	40556	610	2
SPBC17D11.07c	13618	210	2
SPBC17G9.07	95061	18034	55
SPBC1861.03	3986	88	3
SPBC1861.08c	4856	50	474
SPBC18E5.03c	2522	115	33
SPBC18E5.05c	2279	85	16
SPBC18E5.06	88762	50250	210
SPBC18E5.10	0	0	0
SPBC18E5.11c	28	0	0
SPBC18E5.15	183	0	40
SPBC18H10.02	18670	484	28
SPBC18H10.03	29099	1602	6
SPBC18H10.07	2994	253	28
SPBC18H10.12c	95957	9870	46
SPBC18H10.14	54983	7336	64
SPBC18H10.15	2099	69	19
SPBC18H10.18c	851	34	3
SPBC1921.01c	27229	4393	117
SPBC1921.02	3201	182	12
SPBC1921.07c	3778	449	45
SPBC19C2.02	1572	79	27
SPBC19C2.03	4393	1488	147
SPBC19C2.08	1397	121	30
SPBC19C2.10	2922	52	20
SPBC19C7.01	2468	261	37
SPBC19F5.01c	744	7	12
SPBC19F5.04	20802	960	145
SPBC19F8.03c	4343	107	0
SPBC19G7.07c	6138	242	22
SPBC19G7.15	8125	524	8
SPBC1A4.03c	7014	35	0
SPBC1A4.07c	4968	306	6
SPBC1E8.02	3021	0	147
SPBC1E8.04	52	0	0
SPBC21.04	5758	134	10
SPBC21.07c	869	23	6
SPBC211.01	542	152	15
SPBC211.02c	527	0	0
SPBC211.08c	4649	348	4
SPBC215.04	521	62	2
SPBC215.06c	3018	209	5
SPBC215.09c	17705	751	13
SPBC215.15	8823	918	10
SPBC216.01c	3493	59	9
SPBC216.06c	4763	40	1
SPBC21B10.08c	18005	2438	20
SPBC21B10.11	685	92	6
SPBC21B10.12	921	44	106
SPBC21B10.14	1469	322	26
SPBC21B10.15	1199	159	8
SPBC21C3.03	2707	35	1
SPBC21C3.09c	2496	146	25
SPBC21C3.10c	2375	0	2
SPBC21C3.13	45872	15741	71
SPBC21C3.17c	3552	374	7
SPBC21D10.07	1	0	0
SPBC21D10.08c	59	0	0
SPBC21D10.09c	4595	51	6
SPBC21D10.12	13473	722	13
SPBC21H7.06c	717	72	2
SPBC23E6.03c	3454	37	7
SPBC23E6.08	4882	53	25
SPBC23G7.05	25414	4759	36
SPBC23G7.06c	2506	0	34
SPBC23G7.12c	8317	864	3
SPBC23G7.15c	63863	4024	19
SPBC244.01c	7530	82	5
SPBC24C6.02	4610	103	3
SPBC24C6.04	45678	1903	9
SPBC24C6.05	7258	845	10
SPBC24C6.13	693	98	4
SPBC25B2.03	4773	94	18
SPBC25B2.04c	1616	89	60
SPBC25B2.06c	5971	455	35
SPBC25B2.07c	2991	0	129
SPBC25D12.02c	2681	35	3
SPBC25H2.02	21621	419	58
SPBC26H8.08c	18664	580	22
SPBC26H8.10	6593	149	2
SPBC26H8.13c	1644	121	10
SPBC26H8.16	1846	427	6
SPBC27.06c	5106	883	26
SPBC28F2.04c	4895	546	83
SPBC28F2.11	14337	667	16
SPBC29A10.04	2935	57	9
SPBC29A10.12	5271	515	3
SPBC29A10.15	3849	96	2
SPBC29A3.03c	1127	38	8
SPBC29A3.04	130246	3443	362
SPBC29A3.06	6752	1	345
SPBC29A3.07c	1866	232	32
SPBC29A3.17	829	34	4
SPBC29A3.18	15834	566	36
SPBC29B5.01	3901	56	6
SPBC2A9.03	813	12	35
SPBC2A9.05c	3158	179	51
SPBC2A9.06c	2417	147	9
SPBC2A9.10	2523	76	19
SPBC2A9.12	1509	75	2
SPBC2A9.13	0	0	0
SPBC2A9.14	342	0	37
SPBC2D10.05	2927	115	22
SPBC2D10.13	1430	42	9
SPBC2F12.10	4562	0	0
SPBC2F12.13	3533	80	3
SPBC2F12.14c	65213	2440	82
SPBC2F12.15c	1984	107	11
SPBC2G2.01c	0	0	0
SPBC2G2.05	8478	1052	88
SPBC2G2.08	8245	129	8
SPBC2G2.10c	705	32	4
SPBC2G2.16	8821	482	70
SPBC30B4.05	5905	140	1
SPBC30B4.07c	1169	114	4
SPBC30D10.02	3999	503	10
SPBC30D10.04	1361	148	66
SPBC30D10.16	3351	445	44
SPBC30D10.18c	18355	1563	1219
SPBC30D10.21	748	228	55
SPBC31E1.01c	1090	39	8
SPBC31E1.04	3491	204	71
SPBC31E1.05	2873	94	4
SPBC31E1.06	12490	184	3
SPBC31F10.05	7047	15	75
SPBC31F10.08	1329	9	176
SPBC31F10.15c	4680	2353	17
SPBC31F10.17c	2983	742	39
SPBC32F12.01c	2160	42	3
SPBC32F12.02	2096	119	6
SPBC32H8.05	6721	1638	22
SPBC336.01	2645	68	6
SPBC336.02	5986	454	10
SPBC336.04	4137	45	1
SPBC336.06c	3091	207	29
SPBC336.09c	3354	100	43
SPBC336.15	2778	32	11
SPBC337.02c	4535	0	550
SPBC337.04	1501	66	8
SPBC337.06c	2165	196	9
SPBC337.16	5340	454	7
SPBC354.08c	1214	0	19
SPBC354.12	4880	283	13
SPBC36.04	5289	385	19
SPBC36.11	3063	66	11
SPBC365.10	7243	172	4
SPBC365.13c	4885	6	1
SPBC36B7.07	7997	1849	50
SPBC36B7.09	4180	18	4
SPBC3B8.01c	5720	175	45
SPBC3B8.05	3215	135	3
SPBC3B8.06	2678	16	39
SPBC3B8.08	983	104	6
SPBC3B8.10	1127	715	20
SPBC3B9.12	1481	2671	42
SPBC3B9.15c	4802	40	4
SPBC3B9.17	1137	223	19
SPBC3B9.18c	5010	539	38
SPBC3B9.21	986	117	27
SPBC3B9.22c	4613	2474	76
SPBC3D6.04c	1926	51	3
SPBC3D6.06c	9905	687	254
SPBC3D6.10	3377	16	52
SPBC3D6.16	247	0	92
SPBC3E7.13c	1656	38	126
SPBC3E7.14	0	0	0
SPBC3E7.15c	6131	625	20
SPBC3F6.03	22124	980	27
SPBC3F6.04c	8342	211	15
SPBC3H7.06c	1402	36	14
SPBC3H7.07c	6767	233	3
SPBC3H7.10	3873	51	69
SPBC3H7.11	3090	203	29
SPBC3H7.15	14694	540	111
SPBC4.01	293	0	24
SPBC4.04c	2971	88	25
SPBC4.07c	14167	646	3
SPBC405.01	17710	314	14
SPBC405.07	42617	12282	82
SPBC409.06	6804	444	126
SPBC409.08	6370	0	299
SPBC409.13	4973	872	28
SPBC409.15	8993	1032	49
SPBC409.18	0	0	0
SPBC409.19c	1882	12	74
SPBC409.20c	11525	945	16
SPBC409.23	782	228	24
SPBC418.01c	16810	600	21
SPBC428.19c	8210	304	26
SPBC4B4.04	10887	366	18
SPBC4B4.11	3226	176	51
